IDX	TRD	TIMESTAMP	VOLUME	PRICE
535	9	1534712006000	2.504099	6475.00
536	11	1534712007000	5.199568	6474.96
537	6	1534712008000	0.011741	6473.93
538	8	1534712009000	6.630956	6475.00
539	7	1534712010000	1.591350	6475.00
540	38	1534712011000	1.218508	6476.17
541	6	1534712012000	0.593712	6476.21
542	17	1534712013000	1.837296	6478.40
543	4	1534712014000	0.653043	6478.60
544	5	1534712015000	1.963676	6478.99
545	24	1534712016000	12.397720	6479.33
546	3	1534712017000	5.055061	6480.00
547	13	1534712018000	11.802059	6480.13
548	29	1534712019000	5.282588	6482.69
549	18	1534712020000	7.050737	6485.17
550	2	1534712021000	0.030858	6483.87
551	4	1534712022000	0.031361	6482.11
552	26	1534712023000	10.838089	6489.32
553	84	1534712024000	19.629311	6492.24
554	19	1534712025000	2.255773	6492.45
555	10	1534712026000	1.014099	6490.05
556	8	1534712027000	1.425683	6490.02
557	20	1534712028000	6.160619	6495.80
558	12	1534712029000	1.173012	6496.06
559	14	1534712030000	1.996912	6494.05
560	12	1534712031000	1.238794	6494.21
561	29	1534712032000	5.453331	6496.36
562	7	1534712033000	1.837231	6493.18
563	14	1534712034000	7.498386	6496.92
564	18	1534712035000	2.110032	6496.47
565	11	1534712036000	3.266573	6496.45
566	11	1534712037000	6.081470	6496.87
567	13	1534712038000	1.763670	6496.78
568	41	1534712039000	8.344723	6497.80
569	16	1534712040000	0.449756	6497.01
570	14	1534712041000	3.430545	6497.02
571	7	1534712042000	0.468281	6497.03
572	25	1534712043000	13.358119	6497.31
573	13	1534712044000	0.616172	6497.22
574	5	1534712045000	0.553900	6497.10
575	9	1534712046000	4.339159	6498.44
576	13	1534712047000	0.280314	6495.43
577	11	1534712048000	1.059764	6495.72
578	10	1534712049000	2.961080	6494.45
579	12	1534712050000	0.778947	6492.18
580	15	1534712051000	1.296062	6492.34
581	12	1534712052000	2.163659	6490.29
582	23	1534712053000	6.539380	6487.41
583	14	1534712054000	0.865669	6486.10
584	6	1534712055000	1.157606	6484.56
585	14	1534712056000	3.114540	6485.20
586	9	1534712057000	1.774074	6482.86
587	5	1534712058000	0.430366	6481.61
588	7	1534712059000	0.577807	6481.00
589	14	1534712060000	2.923454	6481.07
590	18	1534712061000	5.518016	6480.06
591	9	1534712062000	1.065331	6473.44
592	33	1534712063000	4.639528	6469.02
593	15	1534712064000	1.135069	6469.32
594	8	1534712065000	0.276008	6469.42
595	12	1534712066000	0.734723	6470.67
596	12	1534712067000	0.772544	6467.54
597	27	1534712068000	3.920778	6466.77
598	4	1534712069000	0.030287	6466.40
599	10	1534712070000	0.876448	6468.64
600	11	1534712071000	1.156964	6469.12
601	11	1534712072000	1.702839	6466.39
602	6	1534712073000	0.273165	6467.60
603	3	1534712074000	0.977812	6471.77
604	5	1534712075000	1.462873	6467.72
605	3	1534712076000	0.136917	6468.41
606	9	1534712077000	1.454367	6467.33
607	6	1534712078000	0.248404	6470.38
608	10	1534712079000	2.295259	6472.34
609	7	1534712080000	1.257179	6474.49
610	2	1534712081000	0.994069	6474.98
611	9	1534712082000	1.034788	6471.63
612	3	1534712083000	1.503997	6470.03
613	5	1534712084000	2.764251	6470.05
614	9	1534712085000	0.572526	6473.93
615	3	1534712086000	0.166415	6472.48
616	6	1534712087000	1.310700	6474.45
617	6	1534712088000	0.429482	6475.76
618	4	1534712089000	0.198374	6475.03
619	7	1534712090000	1.526375	6476.36
620	6	1534712091000	0.136766	6475.68
621	11	1534712092000	3.521922	6475.84
622	10	1534712093000	0.501492	6477.53
623	1	1534712094000	0.000051	6479.43
624	15	1534712095000	2.652372	6479.63
625	5	1534712096000	0.185185	6480.01
626	7	1534712097000	0.615207	6482.91
627	2	1534712098000	0.000017	6481.84
628	2	1534712099000	0.190012	6481.95
629	13	1534712100000	1.741258	6484.52
630	6	1534712101000	0.474816	6487.00
631	2	1534712102000	0.003369	6483.01
632	9	1534712103000	0.748873	6486.79
633	17	1534712104000	3.458374	6492.96
634	14	1534712105000	1.137986	6496.06
635	2	1534712106000	2.294335	6496.46
636	4	1534712107000	0.039960	6488.74
637	1	1534712108000	0.000001	6488.73
638	4	1534712109000	0.219048	6490.06
639	28	1534712110000	23.406157	6499.48
640	3	1534712111000	0.124700	6490.13
641	8	1534712112000	20.208016	6499.95
642	3	1534712113000	0.649583	6496.00
643	6	1534712114000	0.647775	6499.42
644	15	1534712115000	11.067486	6500.00
645	6	1534712116000	0.176076	6498.59
646	7	1534712117000	1.285979	6499.97
647	10	1534712118000	1.993162	6499.24
648	16	1534712119000	5.186281	6499.53
649	9	1534712120000	1.383033	6500.00
650	9	1534712121000	11.054665	6500.00
651	58	1534712122000	18.089567	6502.55
652	16	1534712123000	2.127023	6503.46
653	42	1534712124000	9.927338	6509.32
654	4	1534712125000	0.927000	6506.80
655	14	1534712126000	1.773298	6509.57
656	18	1534712127000	4.654429	6510.12
657	13	1534712128000	12.837313	6511.00
658	38	1534712129000	21.610881	6512.91
659	19	1534712130000	2.820262	6515.89
660	14	1534712131000	0.700387	6514.01
661	11	1534712132000	0.398717	6515.11
662	16	1534712133000	0.873220	6516.99
663	17	1534712134000	2.965044	6517.07
664	23	1534712135000	4.748095	6518.28
665	12	1534712136000	0.496450	6516.40
666	19	1534712137000	5.104166	6514.71
667	17	1534712138000	35.309698	6518.96
668	13	1534712139000	2.278690	6518.09
669	13	1534712140000	1.574500	6518.07
670	10	1534712141000	0.664646	6517.47
671	9	1534712142000	0.391661	6517.64
672	15	1534712143000	1.687526	6516.02
673	4	1534712144000	0.956183	6515.25
674	14	1534712145000	3.716893	6514.11
675	11	1534712146000	3.899907	6516.60
676	9	1534712147000	0.508571	6512.26
677	11	1534712148000	2.187296	6515.78
678	7	1534712149000	3.019638	6518.74
679	3	1534712150000	0.050120	6516.91
680	9	1534712151000	1.494455	6518.91
681	6	1534712152000	0.126991	6517.15
682	6	1534712153000	0.287833	6518.40
683	6	1534712154000	0.597087	6515.33
684	9	1534712155000	0.217259	6515.63
685	7	1534712156000	4.153783	6517.74
686	3	1534712157000	0.023279	6517.42
687	5	1534712158000	0.223104	6517.76
688	6	1534712159000	0.752196	6517.77
689	11	1534712160000	0.542413	6516.55
690	8	1534712161000	0.359805	6516.24
691	4	1534712162000	0.051872	6517.72
692	10	1534712163000	0.426717	6516.29
693	4	1534712164000	1.811009	6516.00
694	7	1534712165000	1.045720	6516.91
